        OVINGTON AVENUE,Brooklyn,11209,Department of Citywide Administrative Services,2180,0.050046,TRUE,-74.01793759,40.63069037
        WEST 20 STREET,Brooklyn,11224,Housing Preservation and Development,2375,0.054522,TRUE,-73.98740059,40.57736409
1905 SURF AVENUE,Brooklyn,11224,Housing Preservation and Development,11140,0.255739,TRUE,-73.98593455,40.57515004
        WEST 22 STREET,Brooklyn,11224,Department of Citywide Administrative Services,113,0.002594,TRUE,-73.98735727,40.57889569
1924 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,2000,0.045914,TRUE,-73.98615822,40.57639067
3566 CANAL AVENUE,Brooklyn,11224,Housing Preservation and Development,4598,0.105556,TRUE,-74.00196195,40.57887166
1926 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,3758,0.086272,TRUE,-73.98617333,40.57638898
2801 SURF AVENUE,Brooklyn,11224,Housing Preservation and Development,4024,0.092378,TRUE,-73.99406064,40.57328036
1918 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,2000,0.045914,TRUE,-73.98611292,40.57639576
1528 SURF AVENUE,Brooklyn,11224,Department of Citywide Administrative Services,7469,0.171465,TRUE,-73.98313539,40.57502772
        BAY 43 STREET,Brooklyn,11214,Department of Transportation,32130,0.737603,TRUE,-73.99406386,40.58733443
        STILLWELL AVENUE,Brooklyn,11223,Department of Citywide Administrative Services,118,0.002709,TRUE,-73.98343093,40.58806283
        WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,1635,0.037534,TRUE,-73.98622016,40.57585706
        WEST 23 STREET,Brooklyn,11224,Housing Preservation and Development,9500,0.21809,TRUE,-73.99050016,40.57658761
2938 WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,1635,0.037534,TRUE,-73.98616,40.575626
        WEST 13 STREET,Brooklyn,11223,New York City Transit (MTA),9914,0.227594,TRUE,-73.98249018,40.58874392
        WEST 12 STREET,Brooklyn,11223,New York City Transit (MTA),10040,0.230487,TRUE,-73.98139007,40.58589869
3216 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,1933,0.044376,TRUE,-73.99882149,40.57498861
        NEPTUNE AVENUE,Brooklyn,11224,Housing Preservation and Development,5308,0.121855,TRUE,-73.98771002,40.57825344
        WEST 20 STREET,Brooklyn,11224,Housing Preservation and Development,2375,0.054522,TRUE,-73.98739187,40.57730932
2600 11 STREET,Brooklyn,0,New York City Transit (MTA),140260,3.219927,TRUE,-73.9797278,40.58631807
