199 COLUMBIA STREET,Brooklyn,11231,Housing Preservation and Development,1995,0.045799,TRUE,40.685225,-74.002298
487 4 AVENUE,Brooklyn,11215,Housing Preservation and Development,4892,0.112305,TRUE,40.668254,-73.989979
503 PRESIDENT STREET,Brooklyn,11215,Housing Preservation and Development,2300,0.052801,TRUE,40.67813891,-73.98635405
348 BERGEN STREET,Brooklyn,11217,Housing Preservation and Development,2000,0.045914,TRUE,40.68257087,-73.98043651
207 4 AVENUE,Brooklyn,11217,Department of Environmental Protection,17960,0.412305,TRUE,40.677668,-73.9823679
        5 STREET,Brooklyn,11231,Department of Citywide Administrative Services,183663,4.216322,TRUE,40.67660131,-73.99580304
        19 STREET,Brooklyn,0,Department of Citywide Administrative Services,79040,1.814509,TRUE,40.66797701,-73.999723
22 UNION STREET,Brooklyn,11231,Department of Business,2500,0.057392,TRUE,40.6850948,-74.00634233
        DE GRAW STREET,Brooklyn,11231,Housing Preservation and Development,420,0.009642,TRUE,40.68529709,-74.00205422
        COLES STREET,Brooklyn,11231,Department of Education,4537,0.104155,TRUE,40.67942288,-74.00248412
199 YORK STREET,Brooklyn,11201,Housing Preservation and Development,2587,0.059389,TRUE,40.7014885,-73.98263018
204 COLUMBIA STREET,Brooklyn,11231,Housing Preservation and Development,1772,0.04068,TRUE,40.68523767,-74.00290976
        2 AVENUE,Brooklyn,11232,Department of Citywide Administrative Services,19200,0.440771,TRUE,40.66150603,-74.00430249
        BERGEN STREET,Brooklyn,11217,Housing Preservation and Development,2083,0.047819,TRUE,40.68262029,-73.98056629
1629 STILLWELL AVENUE,Brooklyn,11223,School Construction Authority,2050,0.047062,TRUE,40.60648909,-73.98676125
        12 STREET,Brooklyn,11215,Department of Business,29990,0.688476,TRUE,40.67197224,-73.99722737
2 2 AVENUE,Brooklyn,11215,Department of Sanitation,63904,1.467034,TRUE,40.67557583,-73.99214081
        COLUMBIA STREET,Brooklyn,11231,Housing Preservation and Development,1338,0.030716,TRUE,40.68138671,-74.00418953
6202 FT HAMILTON PARKWAY,Brooklyn,11219,School Construction Authority,11186,0.256795,TRUE,40.63208353,-74.00722565
        4 AVENUE,Brooklyn,11209,Department of Citywide Administrative Services,209,0.004798,TRUE,40.61454484,-74.03268225
        SHORE PARKWAY,Brooklyn,11214,Department of Citywide Administrative Services,158637,3.641804,TRUE,40.59014996,-73.99837128
1627 STILLWELL AVENUE,Brooklyn,11223,School Construction Authority,2050,0.047062,TRUE,40.60654673,-73.98677204
        2 AVENUE,Brooklyn,11220,Department of Small Business Services,4480,0.102847,TRUE,40.64089567,-74.02573807
1631 STILLWELL AVENUE,Brooklyn,11223,School Construction Authority,2850,0.065427,TRUE,40.60666565,-73.98703548
1353 37 STREET,Brooklyn,11218,New York City Transit (MTA),5630,0.129247,TRUE,40.64107579,-73.98361594
        8 AVENUE,Brooklyn,11228,Department of Real Estate,1478,0.03393,TRUE,40.62862564,-74.01687395
1617 STILLWELL AVENUE,Brooklyn,11223,School Construction Authority,2050,0.047062,TRUE,40.60677181,-73.98681522
        AVENUE Y,Brooklyn,11223,Department of Education,11700,0.268595,TRUE,40.58677814,-73.98264277
        WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,1635,0.037534,TRUE,40.57584883,-73.98628856
        HUNTER AVENUE,Brooklyn,11214,Department of Parks & Recreation,14286,0.327961,TRUE,40.58567031,-73.99761113
2938A WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,1635,0.037534,TRUE,40.575626,-73.98616
2021 NEPTUNE AVENUE,Brooklyn,11224,Department of Citywide Administrative Services,4804,0.110285,TRUE,40.57883538,-73.9881059
1525 BOARDWALK WEST,Brooklyn,11224,Department of Citywide Administrative Services,25000,0.573921,TRUE,40.57384468,-73.98292691
2934 WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,2475,0.056818,TRUE,40.57564842,-73.98595382
        AVENUE X,Brooklyn,11223,New York City Transit (MTA),42400,0.97337,TRUE,40.58845529,-73.9831572
1914 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,2000,0.045914,TRUE,40.57639914,-73.98608271
        HUNTER AVENUE,Brooklyn,11214,Department of Parks & Recreation,57858,1.328237,TRUE,40.58618342,-73.9965105
        WEST 16 STREET,Brooklyn,11224,Department of Citywide Administrative Services,4750,0.109045,TRUE,40.57844792,-73.98435848
2924 WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,1980,0.045455,TRUE,40.575832,-73.985989
        WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,9503,0.218159,TRUE,40.57601991,-73.98628115
        NEPTUNE AVENUE,Brooklyn,0,Department of Citywide Administrative Services,5238,0.120248,TRUE,40.57876106,-73.9887502
        STILLWELL AVENUE,Brooklyn,11223,Department of Citywide Administrative Services,491,0.011272,TRUE,40.58865812,-73.98233138
1922 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,2000,0.045914,TRUE,40.57639237,-73.98614312
1912 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,2000,0.045914,TRUE,40.57640084,-73.98606761
2427 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,1958,0.044949,TRUE,40.57596724,-73.99150706
1910 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,2000,0.045914,TRUE,40.57640253,-73.98605251
        WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,1980,0.045455,TRUE,40.57589821,-73.98600417
1502 SURF AVENUE,Brooklyn,11224,Department of Citywide Administrative Services,9187,0.210904,TRUE,40.57509623,-73.98243343
        OVINGTON AVENUE,Brooklyn,11209,Department of Citywide Administrative Services,2180,0.050046,TRUE,40.63069037,-74.01793759
        WEST 20 STREET,Brooklyn,11224,Housing Preservation and Development,2375,0.054522,TRUE,40.57736409,-73.98740059
1905 SURF AVENUE,Brooklyn,11224,Housing Preservation and Development,11140,0.255739,TRUE,40.57515004,-73.98593455
        WEST 22 STREET,Brooklyn,11224,Department of Citywide Administrative Services,113,0.002594,TRUE,40.57889569,-73.98735727
1924 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,2000,0.045914,TRUE,40.57639067,-73.98615822
3566 CANAL AVENUE,Brooklyn,11224,Housing Preservation and Development,4598,0.105556,TRUE,40.57887166,-74.00196195
1926 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,3758,0.086272,TRUE,40.57638898,-73.98617333
2801 SURF AVENUE,Brooklyn,11224,Housing Preservation and Development,4024,0.092378,TRUE,40.57328036,-73.99406064
1918 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,2000,0.045914,TRUE,40.57639576,-73.98611292
1528 SURF AVENUE,Brooklyn,11224,Department of Citywide Administrative Services,7469,0.171465,TRUE,40.57502772,-73.98313539
        BAY 43 STREET,Brooklyn,11214,Department of Transportation,32130,0.737603,TRUE,40.58733443,-73.99406386
        STILLWELL AVENUE,Brooklyn,11223,Department of Citywide Administrative Services,118,0.002709,TRUE,40.58806283,-73.98343093
        WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,1635,0.037534,TRUE,40.57585706,-73.98622016
        WEST 23 STREET,Brooklyn,11224,Housing Preservation and Development,9500,0.21809,TRUE,40.57658761,-73.99050016
2938 WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,1635,0.037534,TRUE,40.575626,-73.98616
        WEST 13 STREET,Brooklyn,11223,New York City Transit (MTA),9914,0.227594,TRUE,40.58874392,-73.98249018
        WEST 12 STREET,Brooklyn,11223,New York City Transit (MTA),10040,0.230487,TRUE,40.58589869,-73.98139007
3216 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,1933,0.044376,TRUE,40.57498861,-73.99882149
        NEPTUNE AVENUE,Brooklyn,11224,Housing Preservation and Development,5308,0.121855,TRUE,40.57825344,-73.98771002
        WEST 20 STREET,Brooklyn,11224,Housing Preservation and Development,2375,0.054522,TRUE,40.57730932,-73.98739187
2600 11 STREET,Brooklyn,0,New York City Transit (MTA),140260,3.219927,TRUE,40.58631807,-73.9797278
2953 MERMAID AVENUE,Brooklyn,11224,Housing Preservation and Development,4750,0.109045,TRUE,40.57390629,-73.9969223
        SHORE PARKWAY,Brooklyn,11224,New York City Transit (MTA),222,0.005096,TRUE,40.58265891,-73.98118169
        WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,2450,0.056244,TRUE,40.57595983,-73.98601604
1901 SURF AVENUE,Brooklyn,11224,Housing Preservation and Development,5047,0.115863,TRUE,40.575156,-73.985911
2936 WEST 19 STREET,Brooklyn,11224,Housing Preservation and Development,2442,0.056061,TRUE,40.5755709,-73.985937
17 LOUIS PLACE,Brooklyn,11233,Housing Preservation and Development,1788,0.041047,TRUE,40.67726993,-73.91706905
        PARK PLACE,Brooklyn,11233,Housing Preservation and Development,3550,0.081497,TRUE,40.67106782,-73.91479847
        EASTERN PARKWAY,Brooklyn,11233,Housing Preservation and Development,4290,0.098485,TRUE,40.67170928,-73.91369454
        EAST NEW YORK AVENUE,Brooklyn,0,Department of Citywide Administrative Services,1417,0.03253,TRUE,40.66800726,-73.92159945
        DEAN STREET,Brooklyn,11233,Department of Citywide Administrative Services,107,0.002456,TRUE,40.67495107,-73.91018968
        EAST NEW YORK AVENUE,Brooklyn,0,Housing Preservation and Development,4925,0.113062,TRUE,40.67165685,-73.91320823
        EASTERN PARKWAY,Brooklyn,11233,Department of Transportation,4614,0.105923,TRUE,40.67220344,-73.91383089
908 MADISON STREET,Brooklyn,11221,Department of Citywide Administrative Services,2000,0.045914,TRUE,40.68785126,-73.9212963
1814 BERGEN STREET,Brooklyn,11233,Department of Citywide Administrative Services,93933,2.156405,TRUE,40.67405008,-73.92063484
440 HERKIMER STREET,Brooklyn,11213,Housing Preservation and Development,2000,0.045914,TRUE,40.67882616,-73.93890446
203 MOTHER GASTON BLVD,Brooklyn,11233,Department of Citywide Administrative Services,1278,0.029339,TRUE,40.67442225,-73.90806712
398 HOWARD AVENUE,Brooklyn,11233,Housing Preservation and Development,1800,0.041322,TRUE,40.67412635,-73.91978756
381 HOPKINSON AVENUE,Brooklyn,11233,NY Police Department,1764,0.040496,TRUE,40.6713262,-73.9141693
